SPACECRAFT_CLOCK_START_COUNT,MISSION_NAME,INSTRUMENT_ID,DATA_SET_ID,IMAGE_ID,OBSERVATION_ID,PRODUCT_TYPE,TARGET_NAME,IMAGE_TIME,FILTER_NAME,FILTER_NUMBER,EXPOSURE_DURATION,GAIN_MODE_ID,FRAME_DURATION,OBSTRUCTION_ID,ORBIT_NUMBER,NTV_TIME_FROM_CLOSEST_APPROACH,NTV_SAT_TIME_FROM_CLOSEST_APR,PHASE_ANGLE,EMISSION_ANGLE,INCIDENCE_ANGLE,LOCAL_HOUR_ANGLE,TWIST_ANGLE,CONE_ANGLE,RIGHT_ASCENSION,DECLINATION,NORTH_AZIMUTH,SMEAR_AZIMUTH,SMEAR_MAGNITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE,SLANT_DISTANCE,LIGHT_SOURCE_LATITUDE,LIGHT_SOURCE_LONGITUDE,TARGET_CENTER_DISTANCE,CENTRAL_BODY_DISTANCE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SOLAR_DISTANCE,SUB_SPACECRAFT_LINE,SUB_SPACECRAFT_LINE_SAMPLE,CENTER_RING_RADIUS,VOLUME_ID,FILE_SPECIFICATION_NAME,COMPRESSION_TYPE,ENCODING_MIN_COMPRESSION_RATIO,ENCODING_MAX_COMPRESSION_RATIO,ENCODING_COMPRESSION_RATIO,PROCESSING_HISTORY_TEXT
3945302.65,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,G8G0003,G8GSMARIUS01,REDR,GANYMEDE,1997-05-07 14:56:11.867000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,8,-000T20:45:52Z,-000T01:00:49Z,70.094,41.174,37.719,145.729,79.178,108.211,235.231,-25.577,87.092,-999,0.1,365.057,316.7,28654.6,-17.577,156.189,30686.42,1101451.0,1.969,189.184,150.951,-0.62,121.918,761417000,3131.736,5259.187,-999,GO_0019,G8/GANYMEDE/C0394530265R.IMG,INTEGER COSINE TRANSFORM,3.511,2.411,3.657,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5840605.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,29G0019,29GSCAPCOL01,REDR,GANYMEDE,2000-12-28 10:16:21.631000+00:00,GREEN,1,45.83,100K,60.667,NOT POSSIBLE,29,-000T17:09:41Z,000T01:51:21Z,2.763,53.635,51.952,158.567,255.287,169.983,65.048,22.987,294.6,-999,0.1,708.794,1147.78,67762.6,51.989,25.376,69356.73,1002600.0,2.402,7.107,95.775,2.897,4.995,755787000,3362.036,-144.065,-999,GO_0023,G29/GANYMEDE/C0584060500R.IMG,INTEGER COSINE TRANSFORM,3.603,2.541,4.49,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
5840608.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,29G0021,29GSCAPCOL01,REDR,GANYMEDE,2000-12-28 10:19:23.631000+00:00,GREEN,1,45.83,100K,60.667,NOT POSSIBLE,29,-000T17:06:39Z,000T01:54:23Z,2.476,53.933,52.655,145.619,255.506,169.561,65.488,22.981,294.205,-999,0.1,708.704,1199.9,69664.3,46.757,38.714,71246.88,1000720.0,2.304,7.161,82.764,2.897,5.101,755787000,3339.434,541.127,-999,GO_0023,G29/GANYMEDE/C0584060800R.IMG,INTEGER COSINE TRANSFORM,2.967,2.279,3.72,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.0,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0010,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:11.227000+00:00,CLEAR,0,6.25,40K,8.667,NOT POSSIBLE,9,-000T12:32:50Z,000T06:00:08Z,86.805,24.697,66.037,241.076,288.067,100.507,37.16,16.999,271.624,-999,0.1,2167.45,2082.65,199071.0,12.354,65.71,201467.8,932402.8,0.018,44.509,175.207,-0.394,131.047,758784000,1091.389,1252.347,-999,GO_0019,C9/GANYMEDE/C0401701000R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.13,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0011,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:19.894000+00:00,CLEAR,0,6.25,40K,8.667,NOT POSSIBLE,9,-000T12:32:42Z,000T06:00:16Z,86.814,20.867,65.964,242.253,287.94,100.497,37.312,16.594,271.706,-999,0.1,2162.52,2021.18,199073.0,-0.921,65.085,201536.2,932347.9,0.018,44.505,181.707,-0.394,131.052,758784000,353.312,1258.487,-999,GO_0019,C9/GANYMEDE/C0401701013R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.26,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0012,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:28.561000+00:00,CLEAR,0,6.25,40K,8.667,NOT POSSIBLE,9,-000T12:32:33Z,000T06:00:25Z,86.83,28.666,65.594,241.383,287.818,100.488,37.471,16.19,271.784,-999,0.1,2198.18,2140.22,199290.0,-18.042,66.673,201604.5,932293.1,0.018,44.5,190.095,-0.394,131.057,758784000,-387.825,1279.517,-999,GO_0019,C9/GANYMEDE/C0401701026R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.39,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0013,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:37.230000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,9,-000T12:32:24Z,000T06:00:34Z,86.578,31.616,86.182,265.63,288.249,100.915,36.684,17.085,271.577,-999,0.1,2025.1,2376.91,199424.0,31.218,45.767,201672.8,932238.3,0.018,44.496,179.201,-0.394,131.062,758784000,1474.374,507.129,-999,GO_0019,C9/GANYMEDE/C0401701039R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.52,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0014,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:45.897000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,9,-000T12:32:16Z,000T06:00:42Z,86.689,18.875,78.108,257.465,288.108,100.904,36.873,16.714,271.664,-999,0.1,2047.13,2115.03,199246.0,16.35,53.587,201741.2,932183.4,0.018,44.492,177.796,-0.394,131.067,758784000,771.719,586.782,-999,GO_0019,C9/GANYMEDE/C0401701052R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.65,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0015,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:20:54.564000+00:00,CLEAR,0,12.5,40K,8.667,NOT POSSIBLE,9,-000T12:32:07Z,000T06:00:51Z,86.69,19.332,78.728,258.298,287.982,100.896,37.026,16.302,271.747,-999,0.1,2048.46,2121.23,199323.0,-17.241,52.758,201809.5,932128.7,0.018,44.488,184.788,-0.394,131.072,758784000,19.457,590.494,-999,GO_0019,C9/GANYMEDE/C0401701065R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
4017010.78,GALILEO,SSI,GO-J/JSA-SSI-2-REDR-V1.0,C9G0016,C9GSGLOBAL01,REDR,GANYMEDE,1997-06-26 23:21:03.230000+00:00,CLEAR,0,12.5,100K,8.667,NOT POSSIBLE,9,-000T12:31:58Z,000T06:01:00Z,86.583,36.889,88.119,267.847,287.863,100.885,37.153,15.858,271.831,-999,0.1,2028.56,2536.82,199767.0,-36.401,43.124,201877.8,932073.9,0.018,44.483,182.532,-0.394,131.077,758784000,-770.469,540.867,-999,GO_0019,C9/GANYMEDE/C0401701078R.IMG,BARC RATE CONTROL,0.0,0.0,0.0,"VICAR programs run: SSIMERGE,CATLABEL,BADLABELS."
